Experiment,Point,Cell,Treatment,Frame,Time,X,Y,Velocity,Cell_Area,Cell_X,Cell_Y,Cell_Major,Cell_Minor,Cell_Angle
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,195,21,315.286,214.646,1.327001716,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,196,24,314.657,217.005,0.81380601,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,197,27,314.343,217.477,0.188967957,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,198,30,313.399,215.747,0.656931926,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,199,33,312.298,212.602,1.110716786,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,200,36,312.141,209.614,0.997373941,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,201,39,313.557,206.312,1.197602234,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,202,42,315.915,202.538,1.483361048,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,203,45,315.915,199.393,1.048333333,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,204,48,316.072,196.562,0.945116689,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,205,51,318.431,194.047,1.1494011,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,206,54,321.576,192.317,1.196472826,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,207,57,325.35,191.688,1.275352544,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,208,60,326.765,192.317,0.516168147,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,209,63,330.539,194.047,1.383874432,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,210,66,336.987,200.494,3.039380657,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,211,69,345.95,207.885,3.872441808,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,212,72,347.837,212.602,1.693479587,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,213,75,347.365,217.634,1.684696082,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,214,78,346.894,219.364,0.597656628,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,215,81,343.748,220.15,1.080900448,2222,328.2,208.3,64.7,44.4,149
2014.05.01_hela_gfp-tub_rfp-h2b_confinement-5um_zeiss-??x,HCTG-0006-6,2,pdms_fn,216,84,342.176,219.521,0.564390035,2222,328.2,208.3,64.7,44.4,149
