file,position,condition,cell_id,frame,time,centrosome_a_x,centrosome_a_y,centrosome_a_vel,centrosome_a_dir,centrosome_b_x,centrosome_b_y,centrosome_b_vel,centrosome_b_dir,centrosome_mid_x,centrosome_mid_y,centrosome_mid_vel,centrosome_mid_dir,centrosome_distance,centrosome_angle,centrosome_elong,centrosome_rot,spindle_pole_a_x,spindle_pole_a_y,spindle_pole_a_vel,spindle_pole_a_dir,spindle_pole_b_x,spindle_pole_b_y,spindle_pole_b_vel,spindle_pole_b_dir,spindle_mid_x,spindle_mid_y,spindle_mid_vel,spindle_mid_dir,spindle_distance,spindle_angle,spindle_elong,spindle_rot,dna_area,dna_x,dna_y,dna_length,dna_width,dna_angle,cell_area,cell_x,cell_y,cell_length,cell_width,cell_angle
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,58,75,146.452,125.547,0.963005711,119.7596406,147.527,126.861,1.238851081,135,146.9895,126.204,1.091359244,128.3400441,1.697710517,50.7129677,-0.288756726,7.652863401,148.602,124.353,1.00520921,123.6953371,148.602,124.353,1.00520921,123.6953371,148.602,124.353,1.00520921,123.6953371,0,#DIV/0!,0,#DIV/0!,232.451,150.045,118.267,22.566,13.115,172.548,2039.402,148.202,101.581,69.228,37.509,93.346
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,59,78,145.138,129.131,1.272427776,110.1344245,145.974,130.565,1.338798176,112.747157,145.556,129.848,1.305273843,111.4740008,1.659895177,59.75847067,-0.012605113,3.015167658,147.527,128.056,1.285294346,106.1882856,147.527,128.056,1.285294346,106.1882856,147.527,128.056,1.285294346,106.1882856,0,#DIV/0!,0,#DIV/0!,233.735,149.054,121.684,23.092,12.888,172.118,2093.855,147.57,103.145,73.307,36.368,91.455
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,60,81,145.377,132.237,1.038393899,85.59988401,147.049,133.551,1.05787108,70.20044418,146.213,132.894,1.038683194,77.82818936,2.126541794,38.1632797,0.155548872,-7.198396989,147.288,131.162,1.038393899,94.40011599,147.288,131.162,1.038393899,94.40011599,147.288,131.162,1.038393899,94.40011599,0,#DIV/0!,0,#DIV/0!,219.993,148.12,124.371,22.605,12.391,1.064,2093.855,147.57,103.862,73.307,36.368,91.455
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,61,84,148.005,135.223,1.325920226,48.64876252,149.797,135.462,1.115717258,34.81532476,148.901,135.3425,1.212000011,42.33039859,1.807867528,7.596737666,-0.106224755,-10.18884735,149.677,133.551,1.1261854,45,149.677,133.551,1.1261854,45,149.677,133.551,1.1261854,45,0,#DIV/0!,0,#DIV/0!,221.92,148.274,126.822,22.778,12.405,19.482,2111.321,148.095,106.249,74.453,36.106,90.971
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,62,87,151.947,135.104,1.314598587,-1.729103946,154.336,133.79,1.612386258,-20.22193454,153.1415,134.447,1.444674531,-11.92440343,2.726521043,-28.81171439,0.306217838,-12.13615069,153.022,133.79,1.117842466,4.086834052,153.022,133.79,1.117842466,4.086834052,153.022,133.79,1.117842466,4.086834052,0,#DIV/0!,0,#DIV/0!,218.581,148.912,127.58,22.507,12.365,43.5,2005.626,146.601,104.789,74.322,34.359,95.224
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,63,90,155.172,133.79,1.160805324,-22.16803881,156.247,132.954,0.695287071,-23.62780488,155.7095,133.372,0.927975634,-22.71485386,1.361807989,-37.87129358,-0.454904351,-3.019859728,155.053,132.117,0.877109521,-39.47938094,155.053,132.117,0.877109521,-39.47938094,155.053,132.117,0.877109521,-39.47938094,0,#DIV/0!,0,#DIV/0!,217.425,149.662,127.961,22.559,12.271,63.586,2005.626,146.601,105.147,74.322,34.359,95.224
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,64,93,157.8,129.848,1.579231459,-56.30993247,158.756,127.817,1.905659699,-63.96831351,158.278,128.8325,1.738589866,-60.49833187,2.244748761,-64.79344226,0.294313591,-8.97404956,156.964,127.936,1.532343231,-65.43639123,156.964,127.936,1.532343231,-65.43639123,156.964,127.936,1.532343231,-65.43639123,0,#DIV/0!,0,#DIV/0!,212.545,151.313,126.64,22.604,11.972,85.65,2005.626,146.601,105.506,74.322,34.359,95.224
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,65,96,158.875,127.698,0.801257692,-63.43494882,159.592,125.189,0.919255738,-72.35347544,159.2335,126.4435,0.857664869,-68.20065806,2.609438637,-74.05158806,0.121563292,-3.0860486,158.398,125.906,0.828469539,-54.76246573,158.398,125.906,0.828469539,-54.76246573,158.398,125.906,0.828469539,-54.76246573,0,#DIV/0!,0,#DIV/0!,211.774,152.39,125.222,22.712,11.872,89.382,1933.451,147.789,105.887,71.414,34.471,94.469
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,66,99,159.712,125.786,0.69572608,-66.35804741,160.787,123.756,0.62196052,-50.17477071,160.2495,124.771,0.652304654,-58.72241406,2.297068784,-62.09624535,-0.104123284,3.985114237,159.353,124.114,0.676862779,-61.9457707,159.353,124.114,0.676862779,-61.9457707,159.353,124.114,0.676862779,-61.9457707,0,#DIV/0!,0,#DIV/0!,217.939,153.049,123.991,23.932,11.595,89.425,1933.451,148.506,105.529,71.414,34.471,94.469
2010.08.06_hela_gfp-tub_rfp-h2b_rap1_stlc_vox-40x,cell_2,rap1_stlc,11,67,102,160.667,125.547,0.328150711,-14.05035921,161.145,123.636,0.125858827,-18.53092156,160.906,124.5915,0.226865721,-15.29203608,1.969874361,-75.95670214,-0.109064808,-4.620152264,159.592,123.636,0.178140082,-63.43494882,159.592,123.636,0.178140082,-63.43494882,159.592,123.636,0.178140082,-63.43494882,0,#DIV/0!,0,#DIV/0!,216.783,153.498,123.532,24.52,11.257,85.431,1933.451,148.506,105.529,71.414,34.471,94.469
